,0
1,350.50699999999995
2,1650.463
3,829.74
4,526.114
5,815.63
6,409.28400000000005
7,45.22899999999999
8,27.689
9,11.376000000000001
11,15.075000000000001
14,4683.354
15,548.789
16,285.78000000000003
17,41.404
18,26.214000000000002
19,267.10400000000004
20,74.156
21,60.486999999999995
22,68.626
23,50.718999999999994
24,363.721
25,77.062
26,130.247
27,77.588
28,88.428
29,84.78299999999999
30,70.601
31,47.85900000000001
32,119.364
33,52.327999999999996
34,60.355000000000004
35,48.151
36,282.27700000000004
37,57.587
38,302.671
39,479.78
40,41.272999999999996
41,101.19599999999998
42,227.76899999999998
43,81.955
44,37.68000000000001
45,78.75399999999999
46,19.144
47,12.858
48,27.14
49,109.55799999999999
50,144.175
51,112.02999999999999
52,57.431
53,49.814
54,26.773
55,64.37899999999999
56,64.416
57,63.58400000000001
58,507.467
59,145.06900000000002
60,53.266
61,38.162
62,123.057
63,13.2
64,54.70400000000001
65,43.371
66,30.235
67,46.169
68,40.977
69,56.266000000000005
70,221.942
71,74.853
72,44.235
73,64.972
74,40.165000000000006
75,72.717
76,62.632999999999996
77,48.72200000000001
78,227.827
79,70.914
80,247.574
81,252.992
82,44.875
83,475.8879999999999
84,62.343
85,16.777
86,50.05
87,61.088
88,667.9069999999999
89,155.70399999999998
90,255.919
91,47.958
92,41.266999999999996
93,26.332
94,34.55
95,33.264
96,46.291
97,232.04700000000003
98,39.699
99,110.868
100,31.284000000000006
101,10.103
102,36.824999999999996
103,191.918
104,304.029
105,76.61599999999999
106,37.732
107,394.322
108,50.209
109,35.676
110,21.303
111,260.265
112,135.178
113,58.172
114,33.802
115,31.583
116,67.492
117,46.61200000000001
118,70.06
119,56.289
120,37.893
121,203.98299999999998
122,73.098
123,43.762
124,49.485
125,65.43
126,97.09599999999999
127,47.870999999999995
128,39.75
129,27.483999999999998
130,271.386
131,25.779
132,33.997
133,126.487
134,12.123
135,23.335
136,28.621
137,423.712
138,635.9200000000001
139,402.79299999999995
140,352.614
141,95.90400000000001
142,23.515
143,23.506999999999998
144,236.85899999999998
145,117.084
146,25.401000000000003
147,22.430999999999997
148,198.257
149,25.051
150,274.257
151,61.217999999999996
152,13.475000000000001
153,40.794
154,35.742000000000004
155,55.045
156,457.541
157,29.323
158,18.191
159,254.21200000000002
160,193.041
161,60.899
162,307.02799999999996
163,61.479000000000006
164,458.474
165,398.807
166,1374.2620000000002
167,32.896
168,117.595
169,60.586
170,77.971
171,64.666
172,50.817
173,41.858000000000004
174,66.299
175,79.973
176,106.19600000000001
177,62.192
178,42.04
179,34.48
180,149.075
181,263.18399999999997
182,87.75299999999999
183,25.014999999999997
184,61.55899999999999
185,319.148
186,418.18000000000006
187,61.977
188,83.98400000000001
189,63.813
190,95.04700000000001
191,49.42999999999999
192,32.150000000000006
193,95.614
194,46.086
195,55.273
196,21.383000000000003
197,63.81700000000001
198,20.665
199,303.648
200,68.4
201,38.858999999999995
202,52.75
203,75.89099999999999
204,55.625
205,67.536
206,47.494
207,184.417
208,69.02000000000001
209,122.375
210,55.336999999999996
211,50.31999999999999
212,119.75
213,49.22200000000001
214,37.205
215,82.644
216,177.00900000000001
217,127.966
218,258.402
219,32.014
220,107.69999999999999
221,89.945
222,117.49900000000001
223,339.877
224,159.82600000000002
225,506.3430000000001
226,169.65699999999998
227,314.962
228,300.455
229,98.60499999999999
230,66.916
231,39.549
232,10.264
233,302.39300000000003
234,48.148
235,637.6069999999999
236,181.19299999999998
237,367.303
238,56.201
239,91.452
240,22.882
241,69.34299999999999
242,27.302999999999997
243,36.903
244,8.348
245,44.769000000000005
246,263.81399999999996
247,123.51399999999998
248,43.733
249,49.738
250,219.48399999999998
251,244.29000000000002
252,51.696
253,70.759
254,173.82
255,417.43899999999996
256,397.512
257,246.16799999999998
258,36.928
259,348.33299999999997
260,66.487
261,181.11599999999999
262,54.076
263,25.798000000000002
264,34.074
265,516.3140000000001
266,120.09199999999998
267,66.147
268,76.611
269,135.305
270,94.592
271,61.411
272,551.437
273,267.38
274,51.641999999999996
275,49.533
276,70.727
277,61.333000000000006
278,121.428
279,192.63
280,234.34700000000004
281,270.938
282,21.577
283,680.414
284,82.43
285,64.53399999999999
286,36.995999999999995
287,50.692
288,294.505
289,56.985
290,65.666
291,62.482000000000006
292,70.483
293,47.114
294,38.458000000000006
295,49.684000000000005
296,119.733
297,72.49799999999999
298,235.65099999999995
299,411.798
300,56.032000000000004
301,32.093
302,101.44300000000001
303,94.089
304,336.69500000000005
305,56.001000000000005
306,59.57299999999999
307,361.20399999999995
308,125.721
309,27.224999999999998
310,107.66999999999999
311,30.326
312,240.332
313,40.928000000000004
314,47.293
315,37.665
316,89.016
317,202.286
318,91.439
319,30.161
320,51.606
321,46.407000000000004
322,97.458
323,121.807
324,43.989999999999995
325,67.243
326,42.838
327,68.265
328,166.982
329,54.821
330,173.696
331,44.519
332,43.694
333,41.006
334,31.087
335,53.855000000000004
336,75.192
337,36.661
338,15.995
339,116.916
340,47.803
341,41.266000000000005
342,60.327
343,366.52099999999996
344,67.96999999999998
345,76.529
346,49.363
347,42.934
348,118.80599999999998
349,260.02000000000004
350,46.353
351,140.102
352,1101.4759999999999
353,55.755
354,131.69799999999998
355,26.105999999999998
356,20.899
357,33.103
358,78.759
359,175.44600000000003
360,57.641
361,282.939
362,86.30900000000001
363,36.989999999999995
364,19.53
365,91.28999999999999
366,42.866
367,1.44
368,103.39699999999999
369,56.86399999999999
370,74.2
371,36.303
372,45.648
373,36.585
374,40.945
375,322.753
376,30.418
377,41.400999999999996
378,63.836
379,36.969
380,34.286
381,249.207
382,1006.763
383,53.406000000000006
384,30.203
385,48.9
386,23.395000000000003
387,46.166
388,19.113999999999997
389,41.709
390,78.492
391,42.117999999999995
392,28.682000000000002
393,58.121
394,67.73500000000001
395,77.70599999999999
396,47.153999999999996
397,187.154
398,64.056
399,24.057000000000002
400,45.37500000000001
401,60.342
402,92.922
403,64.38499999999999
404,41.507000000000005
405,17.108
406,57.18600000000001
407,45.032999999999994
408,287.716
409,23.453
410,95.63900000000001
411,191.93499999999997
412,34.092999999999996
413,26.944000000000003
414,103.28500000000001
415,119.51700000000001
416,80.27
417,52.71
418,55.947
419,48.65299999999999
420,276.949
421,86.896
422,39.957
423,492.5240000000001
424,1151.633
425,285.042
426,187.30700000000002
427,631.8710000000001
428,132.46699999999998
429,71.947
430,532.1120000000001
431,391.81000000000006
432,1102.414
433,79.033
434,109.702
435,28.49
436,20.664
437,53.55200000000001
438,72.743
439,150.839
440,214.098
441,6.101000000000001
442,17.043
443,76.476
444,41.554
445,36.96
446,42.407
447,213.942
448,185.75099999999998
449,164.08299999999997
450,36.107
451,771.564
452,94.06299999999999
453,168.89600000000002
454,96.371
455,79.642
456,23.477
457,443.515
