Id,x,y
1,-89.32941504,41.7574525
2,-89.32626347,41.74320952
3,-89.31882685,41.7361384
4,-89.32454478,41.72675863
5,-89.30981449,41.7216706
6,-89.3239509,41.71194456
7,-89.30856222,41.71152734
8,-89.3126401,41.69063594
9,-89.30768065,41.70165532
10,-89.31209518,41.67884004
11,-89.29690276,41.6910434
12,-89.33080574,41.65782234
13,-89.31113472,41.66375446
14,-89.32154939,41.65076706
15,-89.31093966,41.65085779
16,-89.3104494,41.64262897
17,-89.29743017,41.63094924
18,-89.31780978,41.62143477
19,-89.29986649,41.61994044
20,-89.31537838,41.6058128
21,-89.2995757,41.60045801
22,-89.30905157,41.59845693
23,-89.29950612,41.59579319
24,-89.30838041,41.57815437
25,-89.29851342,41.57823763
26,-89.3275258,41.56344528
27,-89.29828879,41.5631455
28,-89.30783195,41.54165889
29,-89.30667362,41.51312709
30,-89.30566836,41.49474813
31,-89.4644037,42.05532005
32,-89.46304155,42.04078958
33,-89.46875472,42.03085431
34,-89.45818932,42.01613999
35,-89.4481402,42.01722593
36,-89.46161637,42.00183679
37,-89.44249816,42.00257196
38,-89.47054853,41.98693021
39,-89.44104249,41.98227925
40,-89.45962737,41.97249383
41,-89.44896968,41.97287232
42,-89.45900366,41.95795586
43,-89.43438461,41.95874346
44,-89.42960587,41.9587892
45,-89.45323525,41.94346815
46,-89.43633469,41.94390619
47,-89.42715632,41.94454284
48,-89.4573899,41.92888338
49,-89.43792125,41.92934676
50,-89.41622446,41.92845578
51,-89.45640001,41.91434887
52,-89.43171769,41.91047136
53,-89.41524854,41.91419518
54,-89.42579893,41.89256977
55,-89.42076704,41.89277396
56,-89.41380813,41.89305095
57,-89.40934227,41.89306545
58,-89.40283245,41.89186667
59,-89.39840383,41.89190784
60,-89.38868115,41.88917107
61,-89.42582899,41.8882995
62,-89.41897472,41.88756869
63,-89.41509244,41.88732268
64,-89.41078329,41.88899051
65,-89.40307213,41.8890626
66,-89.39676126,41.88809214
67,-89.42190011,41.88293347
68,-89.41868999,41.88419875
69,-89.41346954,41.88319969
70,-89.40918129,41.88325366
71,-89.40260884,41.88330408
72,-89.39828178,41.88411816
73,-89.42165017,41.88010656
74,-89.41879447,41.88017475
75,-89.41317389,41.88047198
76,-89.40877201,41.88052701
77,-89.40435791,41.88051063
78,-89.3985372,41.88092427
79,-89.42152639,41.87649086
80,-89.41715033,41.87588461
81,-89.41311659,41.87728649
82,-89.40874943,41.87720947
83,-89.40395383,41.87588217
84,-89.39836936,41.87523981
85,-89.42154982,41.87332656
86,-89.41849307,41.87342958
87,-89.41159554,41.87373879
88,-89.40718994,41.87376361
89,-89.40370015,41.87322265
90,-89.42147149,41.86870879
91,-89.41666064,41.86971749
92,-89.41194224,41.87077452
93,-89.40788934,41.86882845
94,-89.40167138,41.87001434
95,-89.39796285,41.8699939
96,-89.42080783,41.86594342
97,-89.41663723,41.86593893
98,-89.40950703,41.86524307
99,-89.40633704,41.86667503
100,-89.40147057,41.86589165
101,-89.44537034,41.90036204
102,-89.42833071,41.90102799
103,-89.42163189,41.90347639
104,-89.41576071,41.9010182
105,-89.40721065,41.90131253
106,-89.44522465,41.89302271
107,-89.43474057,41.8939772
108,-89.42117542,41.89995716
109,-89.41132245,41.90030529
110,-89.40461734,41.89691858
111,-89.43821918,41.88803551
112,-89.43272565,41.89256404
113,-89.44027309,41.88234894
114,-89.43458122,41.88277688
115,-89.43621806,41.87631502
116,-89.42975474,41.87626166
117,-89.43565157,41.86557138
118,-89.43112901,41.86430571
119,-89.43540259,41.85983835
120,-89.42515138,41.85690939
121,-89.41612108,41.85710741
122,-89.40563719,41.85731005
123,-89.3996326,41.86088955
124,-89.39357673,41.84962843
125,-89.43850354,41.85360112
126,-89.42502671,41.85411147
127,-89.41602235,41.85364787
128,-89.40716379,41.85157957
129,-89.39952133,41.85419193
130,-89.45534819,41.89624746
131,-89.45435943,41.88171284
132,-89.45378137,41.86964396
133,-89.4625866,41.84842724
134,-89.45262128,41.84523173
135,-89.43088716,41.84050189
136,-89.41555979,41.84558695
137,-89.39423585,41.8433161
138,-89.45193415,41.8268521
139,-89.43213422,41.82759207
140,-89.41746504,41.8280059
141,-89.39325745,41.82850627
142,-89.45045685,41.805187
143,-89.4410499,41.81268755
144,-89.41685299,41.81346721
145,-89.39265087,41.81396739
146,-89.37317197,41.81167556
147,-89.4499615,41.79778235
148,-89.43053717,41.79851839
149,-89.42051162,41.79120424
150,-89.39204463,41.79942847
151,-89.37994835,41.79981374
152,-89.4493473,41.78351822
153,-89.42992259,41.78397972
154,-89.41306373,41.78441385
155,-89.39143873,41.7848895
156,-89.37244163,41.7891793
157,-89.35962698,41.79039221
158,-89.44872394,41.7687053
159,-89.42930835,41.76944102
160,-89.41208678,41.76987845
161,-89.38790098,41.77037744
162,-89.37144277,41.77272276
163,-89.35162791,41.77152797
164,-89.44771078,41.75252397
165,-89.42835602,41.75655206
166,-89.40668568,41.75373787
167,-89.38986151,41.75581481
168,-89.37007807,41.75626946
169,-89.35100118,41.75506789
170,-89.44712143,41.73963162
171,-89.42770992,41.74009259
172,-89.41265751,41.73831398
173,-89.38889036,41.74127907
174,-89.37888295,41.73423545
175,-89.3500691,41.74245246
176,-89.45553149,41.71759556
177,-89.42673055,41.72555723
178,-89.41684602,41.7259253
179,-89.38743233,41.71933819
180,-89.35983867,41.7346816
181,-89.34871497,41.72627315
