,Predict1.0,Real1.0,Predict2.0,Real2.0,Predict3.0,Real3.0,Predict4.0,Real4.0,Predict5.0,Real5.0,Predict6.0,Real6.0,Predict7.0,Real7.0,Predict8.0,Real8.0,Predict9.0,Real9.0,Predict9.5,Real9.5,Predict9.7,Real9.7
0,0.15484226,0.11363637,0.050296668,0.06818182,0.0828641,0.18181819,0.16900209,0.18181819,0.12936994,0.11363637,0.019219205,0.09090909,0.03697546,0.09090909,0.21740231,0.18181819,0.013854716,0.022727273,0.14702581,0.16666667,0.106518865,0.16666667
1,-0.018864505,0.022727273,0.04792986,0.022727273,0.0108405575,0.045454547,0.17475906,0.11363637,0.084564984,0.11363637,-0.009231135,0.022727273,0.092871964,0.045454547,0.28320202,0.045454547,0.05534939,0.022727273,0.107898444,0.041666668,0.35946372,0.25
2,0.023032486,0.022727273,0.0386561,0.045454547,0.09974498,0.045454547,0.16400541,0.022727273,0.106708236,0.11363637,0.019512028,0.06818182,0.052269474,0.022727273,0.22766155,0.09090909,0.07215124,0.045454547,0.25089744,0.041666668,0.13971518,0.083333336
3,-0.09296266,0.022727273,0.06299233,0.045454547,0.062626265,0.045454547,0.19756022,0.022727273,0.008481376,0.022727273,0.08366324,0.045454547,0.07201661,0.09090909,0.21161428,0.022727273,0.058464896,0.18181819,0.17716247,0.041666668,0.10572668,0.041666668
4,0.004566364,0.045454547,0.11093277,0.1590909,0.077107854,0.18181819,0.16172095,0.09090909,0.019759294,0.045454547,0.055621073,0.022727273,0.073828146,0.09090909,0.1641056,0.09090909,0.038758103,0.045454547,0.35015893,0.20833333,0.1769649,0.041666668
5,0.11778046,0.13636364,0.059493378,0.022727273,0.11868755,0.13636364,0.16789576,0.022727273,0.33731437,0.4318182,-0.09242123,0.022727273,0.056839585,0.022727273,0.19591537,0.13636364,0.026501942,0.045454547,0.43130207,0.625,0.2577958,0.16666667
6,0.107054494,0.045454547,0.055980135,0.1590909,0.063356645,0.06818182,0.22082247,0.18181819,0.22433737,0.18181819,0.15413769,0.11363637,0.040958986,0.045454547,0.16165617,0.11363637,0.18616048,0.11363637,0.34006435,0.20833333,0.12375969,0.16666667
7,-0.05342891,0.06818182,0.091780044,0.18181819,0.28342727,0.20454545,0.16530797,0.045454547,0.15008572,0.13636364,0.13427116,0.045454547,0.06399518,0.022727273,0.16639636,0.06818182,0.4631721,0.27272728,0.34504575,0.16666667,0.13620661,0.083333336
8,0.052571546,0.1590909,0.25179464,0.18181819,0.7013305,0.8863636,0.1811831,0.09090909,0.4424575,0.6363636,0.13775106,0.11363637,0.34107783,0.4318182,0.16519198,0.11363637,0.5897051,0.59090906,0.32832623,0.25,0.1096494,0.083333336
9,0.08114458,0.18181819,0.18075356,0.11363637,0.108537026,0.13636364,0.19581254,0.36363637,0.24674942,0.3181818,0.20912977,0.18181819,0.22800893,0.22727273,0.14972302,0.045454547,0.23061094,0.11363637,0.2526354,0.041666668,0.22627175,0.25
10,0.20682755,0.18181819,0.29046994,0.1590909,0.36621568,0.4318182,0.1645067,0.13636364,0.10951065,0.11363637,0.30372888,0.11363637,0.11734426,0.13636364,0.33421758,0.45454547,0.30911663,0.3181818,0.39322856,0.29166666,0.20633948,0.9166667
11,0.10102123,0.06818182,0.1938886,0.3409091,0.09352345,0.06818182,0.160779,0.11363637,0.097976476,0.06818182,-0.024215028,0.022727273,0.30512515,0.20454545,0.1463587,0.045454547,0.31217322,0.22727273,0.42841858,0.41666666,0.24391307,0.375
12,0.18260399,0.11363637,0.11030675,0.11363637,0.24709633,0.13636364,0.17373179,0.13636364,0.19666173,0.13636364,-0.05720915,0.022727273,0.15616748,0.1590909,0.15444955,0.11363637,0.23150164,0.13636364,0.48642898,0.29166666,0.42145622,0.125
13,0.2696562,0.13636364,0.18907642,0.1590909,0.18243676,0.1590909,0.17990628,0.022727273,0.12892738,0.18181819,0.17822833,0.1590909,0.070178,0.11363637,0.15281013,0.13636364,0.22567031,0.045454547,0.4473241,0.41666666,0.37452477,0.625
14,0.26758304,0.1590909,0.36764306,0.4318182,0.48943928,0.6363636,0.18113308,0.90909094,-0.003909573,0.022727273,0.075963736,0.13636364,0.116116434,0.06818182,0.15286873,0.22727273,0.20792088,0.27272728,0.33308962,0.25,0.35206223,0.5833333
15,-0.025124408,0.06818182,0.06051523,0.022727273,0.3548102,0.38636363,0.18267609,0.09090909,0.20714223,0.29545453,0.08681758,0.06818182,0.14613393,0.09090909,0.15844058,0.3181818,0.3024363,0.22727273,0.2916789,0.125,0.21226546,0.29166666
16,0.34338063,0.4318182,0.12469162,0.11363637,0.3849953,0.38636363,0.18221168,0.1590909,0.09283231,0.09090909,0.24153028,0.1590909,0.24738342,0.13636364,0.13832493,0.1590909,0.03005514,0.022727273,0.6366683,1.0416666,0.27526215,0.125
17,0.1166673,0.18181819,0.14713544,0.1590909,0.080134906,0.11363637,0.18136,0.13636364,0.27585217,0.22727273,0.06305401,0.022727273,0.7124324,0.90909094,0.16749707,0.11363637,0.18333583,0.09090909,0.22183675,0.041666668,0.22627175,0.29166666
18,0.14869559,0.09090909,0.22173604,0.22727273,0.15240502,0.11363637,0.17655908,0.13636364,0.5134623,0.90909094,0.24201287,0.22727273,0.13159832,0.06818182,0.2130162,0.022727273,0.18432847,0.38636363,0.34527516,0.16666667,0.28248253,0.16666667
19,0.07599591,0.045454547,0.08936068,0.045454547,0.067719825,0.09090909,0.1757065,0.11363637,0.31981796,0.3181818,0.124781236,0.09090909,0.14283508,0.11363637,0.22581926,0.022727273,0.14971635,0.06818182,0.2844,0.16666667,0.36611032,0.20833333
20,0.3144889,0.3181818,0.27566767,0.3181818,0.13834733,0.1590909,0.16855411,0.022727273,0.13652712,0.09090909,0.27828318,0.3181818,0.3108581,0.22727273,0.17507227,0.06818182,0.25239363,0.27272728,0.36439678,0.75,0.33583435,0.41666666
21,0.2163491,0.1590909,0.16392204,0.11363637,0.06413049,0.11363637,0.18370846,0.022727273,0.043044597,0.09090909,0.23358802,0.13636364,0.11566016,0.06818182,0.1691375,0.06818182,0.16286881,0.022727273,0.39090955,0.45833334,0.4347306,0.20833333
22,0.18349147,0.11363637,0.17648724,0.27272728,0.19214505,0.11363637,0.19090892,0.5681818,0.3581295,0.36363637,0.32998306,0.22727273,0.57453597,0.5681818,0.31049734,0.5681818,0.060909603,0.27272728,0.32236567,0.29166666,0.1396448,0.041666668
23,0.26266047,0.38636363,0.20288455,0.4090909,0.19442675,0.29545453,0.16592495,0.11363637,0.21042895,0.11363637,0.12344147,0.09090909,0.035039037,0.09090909,0.14421555,0.11363637,0.14142703,0.13636364,0.33144888,0.45833334,0.24564666,0.125
24,0.23502734,0.29545453,0.25383502,0.11363637,0.42033502,0.59090906,0.1658182,0.36363637,0.17506713,0.11363637,0.13088705,0.06818182,0.08649281,0.045454547,0.17048003,0.09090909,0.36520073,0.59090906,0.23831466,0.20833333,0.26612285,0.16666667
25,0.24573717,0.11363637,0.049403757,0.022727273,0.1290167,0.11363637,0.16107076,0.11363637,0.1841406,0.11363637,0.38266158,0.25,0.090775535,0.045454547,0.1826444,0.045454547,0.22853965,0.045454547,0.24015468,0.16666667,0.31151664,0.5
26,0.084856056,0.11363637,0.049582366,0.11363637,0.07362939,0.11363637,0.18130146,0.11363637,0.270106,0.27272728,0.14538415,0.11363637,0.0892652,0.09090909,0.20496368,0.045454547,0.1121569,0.045454547,0.31382933,0.125,0.27971175,0.125
